candidate_id,candidate_name,education,years_experience,skills,certifications,previous_job_title,projects,expected_salary,location,resume_text,shortlisted
1000,Candidate Alpha 0,BSc Computer Science,2,"C++, Embedded Systems, Linux",AWS Certified Developer,Software Dev,5,77698,New York,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1001,Candidate Alpha 1,BSc Computer Science,5,"C++, Embedded Systems, Linux",None,System Analyst,4,95629,San Francisco,Customer service representative handling technical inquiries using basic automation toolsets.,0
1002,Candidate Alpha 2,High School Diploma,5,"Excel, Python, Tableau, SQL, AWS",None,Software Dev,5,110919,New York,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",1
1003,Candidate Alpha 3,BSc Computer Science,2,"Python, SQL, Git, Django, AWS",AWS Certified Developer,System Analyst,4,132333,Remote,Customer service representative handling technical inquiries using basic automation toolsets.,0
1004,Candidate Alpha 4,MSc Data Engineering,5,"Python, HTML, CSS, JavaScript, Git",None,Software Dev,4,83886,Remote,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",1
1005,Candidate Alpha 5,BSc Computer Science,3,"C++, Embedded Systems, Linux",None,Software Dev,1,78932,San Francisco,Customer service representative handling technical inquiries using basic automation toolsets.,0
1006,Candidate Alpha 6,BSc Computer Science,2,"Excel, Python, Tableau, SQL, AWS",AWS Certified Developer,Data Scientist,2,118371,New York,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1007,Candidate Alpha 7,BTech Electrical,2,"Python, HTML, CSS, JavaScript, Git",None,System Analyst,1,94803,San Francisco,Customer service representative handling technical inquiries using basic automation toolsets.,0
1008,Candidate Alpha 8,BTech Electrical,3,"Python, HTML, CSS, JavaScript, Git",None,Software Dev,5,88915,New York,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1009,Candidate Alpha 9,BSc Computer Science,3,"Java, Spring Boot, MySQL",AWS Certified Developer,System Analyst,4,80023,New York,Customer service representative handling technical inquiries using basic automation toolsets.,0
1010,Candidate Alpha 10,BSc Computer Science,5,"Python, HTML, CSS, JavaScript, Git",None,Software Dev,1,76211,Remote,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",1
1011,Candidate Alpha 11,BSc Computer Science,7,"Python, HTML, CSS, JavaScript, Git",None,Data Scientist,1,109923,New York,Customer service representative handling technical inquiries using basic automation toolsets.,1
1012,Candidate Alpha 12,BSc Computer Science,5,"Python, SQL, Git, Django, AWS",AWS Certified Developer,Data Scientist,5,133422,Remote,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",1
1013,Candidate Alpha 13,BSc Computer Science,3,"Java, Spring Boot, MySQL",None,Data Scientist,5,139395,Remote,Customer service representative handling technical inquiries using basic automation toolsets.,0
1014,Candidate Alpha 14,High School Diploma,2,"Java, Spring Boot, MySQL",None,System Analyst,5,124317,San Francisco,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1015,Candidate Alpha 15,High School Diploma,7,"C++, Embedded Systems, Linux",AWS Certified Developer,Software Dev,5,97595,New York,Customer service representative handling technical inquiries using basic automation toolsets.,0
1016,Candidate Alpha 16,MSc Data Engineering,5,"C++, Embedded Systems, Linux",None,Data Scientist,4,99935,New York,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1017,Candidate Alpha 17,BTech Electrical,7,"Python, HTML, CSS, JavaScript, Git",None,Data Scientist,1,73965,Remote,Customer service representative handling technical inquiries using basic automation toolsets.,1
1018,Candidate Alpha 18,BTech Electrical,7,"Python, HTML, CSS, JavaScript, Git",AWS Certified Developer,System Analyst,2,94854,San Francisco,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",1
1019,Candidate Alpha 19,BTech Electrical,5,"Excel, Python, Tableau, SQL, AWS",None,Software Dev,5,81403,San Francisco,Customer service representative handling technical inquiries using basic automation toolsets.,1
1020,Candidate Alpha 20,BTech Electrical,3,"Python, HTML, CSS, JavaScript, Git",None,Software Dev,4,91832,San Francisco,"Experienced software developer building backend apps using Python, structured databases using SQL, scaling applications inside cloud infrastructures like AWS, and version tracking via Git.",0
1021,Candidate Alpha 21,BTech Electrical,3,"Java, Spring Boot, MySQL",AWS Certified Developer,System Analyst,1,102572,New York,Customer service representative handling technical inquiries using basic automation toolsets.,0
