rank,candidate_id,candidate_name,suitability_score,shortlist_probability,recommendation
1,1022,Candidate Alpha 22,0.5749,0.977093,Strongly Recommended
2,1030,Candidate Alpha 30,0.5749,0.977093,Strongly Recommended
3,1036,Candidate Alpha 36,0.5749,0.977093,Strongly Recommended
4,1040,Candidate Alpha 40,0.5749,0.977093,Strongly Recommended
5,1078,Candidate Alpha 78,0.5749,0.977093,Strongly Recommended
6,1084,Candidate Alpha 84,0.5749,0.977093,Strongly Recommended
7,1090,Candidate Alpha 90,0.5749,0.977093,Strongly Recommended
8,1100,Candidate Alpha 100,0.5749,0.977093,Strongly Recommended
9,1031,Candidate Alpha 31,0.4251,0.977093,Strongly Recommended
10,1035,Candidate Alpha 35,0.4251,0.977093,Strongly Recommended
11,1081,Candidate Alpha 81,0.4251,0.977093,Strongly Recommended
12,1139,Candidate Alpha 139,0.4251,0.977093,Strongly Recommended
13,1066,Candidate Alpha 66,0.4149,0.977093,Strongly Recommended
14,1086,Candidate Alpha 86,0.4149,0.977093,Strongly Recommended
15,1102,Candidate Alpha 102,0.4149,0.977093,Strongly Recommended
16,1118,Candidate Alpha 118,0.4149,0.977093,Strongly Recommended
17,1018,Candidate Alpha 18,0.3349,0.977093,Strongly Recommended
18,1042,Candidate Alpha 42,0.3349,0.977093,Strongly Recommended
19,1058,Candidate Alpha 58,0.3349,0.977093,Strongly Recommended
20,1076,Candidate Alpha 76,0.3349,0.977093,Strongly Recommended
21,1088,Candidate Alpha 88,0.3349,0.977093,Strongly Recommended
22,1128,Candidate Alpha 128,0.3349,0.977093,Strongly Recommended
23,1025,Candidate Alpha 25,0.2651,0.977093,Strongly Recommended
24,1033,Candidate Alpha 33,0.2651,0.977093,Strongly Recommended
25,1073,Candidate Alpha 73,0.2651,0.977093,Strongly Recommended
26,1127,Candidate Alpha 127,0.2651,0.977093,Strongly Recommended
27,1012,Candidate Alpha 12,0.5749,0.97347385,Strongly Recommended
28,1028,Candidate Alpha 28,0.5749,0.97347385,Strongly Recommended
29,1146,Candidate Alpha 146,0.5749,0.97347385,Strongly Recommended
30,1065,Candidate Alpha 65,0.4251,0.97347385,Strongly Recommended
31,1071,Candidate Alpha 71,0.4251,0.97347385,Strongly Recommended
32,1137,Candidate Alpha 137,0.4251,0.97347385,Strongly Recommended
33,1002,Candidate Alpha 2,0.4149,0.97347385,Strongly Recommended
34,1026,Candidate Alpha 26,0.4149,0.97347385,Strongly Recommended
35,1044,Candidate Alpha 44,0.4149,0.97347385,Strongly Recommended
36,1060,Candidate Alpha 60,0.4149,0.97347385,Strongly Recommended
37,1082,Candidate Alpha 82,0.4149,0.97347385,Strongly Recommended
38,1110,Candidate Alpha 110,0.4149,0.97347385,Strongly Recommended
39,1130,Candidate Alpha 130,0.4149,0.97347385,Strongly Recommended
40,1004,Candidate Alpha 4,0.3349,0.97347385,Strongly Recommended
41,1010,Candidate Alpha 10,0.3349,0.97347385,Strongly Recommended
42,1074,Candidate Alpha 74,0.3349,0.97347385,Strongly Recommended
43,1106,Candidate Alpha 106,0.3349,0.97347385,Strongly Recommended
44,1134,Candidate Alpha 134,0.3349,0.97347385,Strongly Recommended
45,1019,Candidate Alpha 19,0.2651,0.97347385,Strongly Recommended
46,1053,Candidate Alpha 53,0.2651,0.97347385,Strongly Recommended
47,1059,Candidate Alpha 59,0.2651,0.97347385,Strongly Recommended
48,1115,Candidate Alpha 115,0.2651,0.97347385,Strongly Recommended
49,1119,Candidate Alpha 119,0.2651,0.97347385,Strongly Recommended
50,1011,Candidate Alpha 11,0.1851,0.95721704,Strongly Recommended
51,1017,Candidate Alpha 17,0.1851,0.95721704,Strongly Recommended
52,1097,Candidate Alpha 97,0.1851,0.95721704,Strongly Recommended
53,1103,Candidate Alpha 103,0.1851,0.95721704,Strongly Recommended
54,1111,Candidate Alpha 111,0.1851,0.95721704,Strongly Recommended
55,1121,Candidate Alpha 121,0.1851,0.95721704,Strongly Recommended
56,1039,Candidate Alpha 39,0.1851,0.95061654,Strongly Recommended
57,1043,Candidate Alpha 43,0.1851,0.95061654,Strongly Recommended
58,1077,Candidate Alpha 77,0.1851,0.95061654,Strongly Recommended
59,1091,Candidate Alpha 91,0.1851,0.95061654,Strongly Recommended
60,1133,Candidate Alpha 133,0.1851,0.95061654,Strongly Recommended
61,1048,Candidate Alpha 48,0.1749,0.02979427,Not Shortlisted
62,1054,Candidate Alpha 54,0.1749,0.02979427,Not Shortlisted
63,1072,Candidate Alpha 72,0.1749,0.02979427,Not Shortlisted
64,1098,Candidate Alpha 98,0.1749,0.02979427,Not Shortlisted
65,1138,Candidate Alpha 138,0.1749,0.02979427,Not Shortlisted
66,1144,Candidate Alpha 144,0.1749,0.02979427,Not Shortlisted
67,1015,Candidate Alpha 15,0.0251,0.02979427,Not Shortlisted
68,1045,Candidate Alpha 45,0.0251,0.02979427,Not Shortlisted
69,1067,Candidate Alpha 67,0.0251,0.02979427,Not Shortlisted
70,1079,Candidate Alpha 79,0.0251,0.02979427,Not Shortlisted
71,1085,Candidate Alpha 85,0.0251,0.02979427,Not Shortlisted
72,1087,Candidate Alpha 87,0.0251,0.02979427,Not Shortlisted
73,1131,Candidate Alpha 131,0.0251,0.02979427,Not Shortlisted
74,1147,Candidate Alpha 147,0.0251,0.02979427,Not Shortlisted
75,1149,Candidate Alpha 149,0.0251,0.02979427,Not Shortlisted
76,1016,Candidate Alpha 16,0.1749,0.027220586,Not Shortlisted
77,1038,Candidate Alpha 38,0.1749,0.027220586,Not Shortlisted
78,1064,Candidate Alpha 64,0.1749,0.027220586,Not Shortlisted
79,1112,Candidate Alpha 112,0.1749,0.027220586,Not Shortlisted
80,1132,Candidate Alpha 132,0.1749,0.027220586,Not Shortlisted
81,1001,Candidate Alpha 1,0.0251,0.027220586,Not Shortlisted
82,1027,Candidate Alpha 27,0.0251,0.027220586,Not Shortlisted
83,1041,Candidate Alpha 41,0.0251,0.027220586,Not Shortlisted
84,1049,Candidate Alpha 49,0.0251,0.027220586,Not Shortlisted
85,1063,Candidate Alpha 63,0.0251,0.027220586,Not Shortlisted
86,1069,Candidate Alpha 69,0.0251,0.027220586,Not Shortlisted
87,1075,Candidate Alpha 75,0.0251,0.027220586,Not Shortlisted
88,1095,Candidate Alpha 95,0.0251,0.027220586,Not Shortlisted
89,1105,Candidate Alpha 105,0.0251,0.027220586,Not Shortlisted
90,1056,Candidate Alpha 56,0.5749,0.023055231,Not Shortlisted
91,1070,Candidate Alpha 70,0.5749,0.023055231,Not Shortlisted
92,1080,Candidate Alpha 80,0.5749,0.023055231,Not Shortlisted
93,1094,Candidate Alpha 94,0.5749,0.023055231,Not Shortlisted
94,1140,Candidate Alpha 140,0.5749,0.023055231,Not Shortlisted
95,1142,Candidate Alpha 142,0.5749,0.023055231,Not Shortlisted
96,1148,Candidate Alpha 148,0.5749,0.023055231,Not Shortlisted
97,1003,Candidate Alpha 3,0.4251,0.023055231,Not Shortlisted
98,1055,Candidate Alpha 55,0.4251,0.023055231,Not Shortlisted
99,1089,Candidate Alpha 89,0.4251,0.023055231,Not Shortlisted
100,1093,Candidate Alpha 93,0.4251,0.023055231,Not Shortlisted
101,1123,Candidate Alpha 123,0.4251,0.023055231,Not Shortlisted
102,1125,Candidate Alpha 125,0.4251,0.023055231,Not Shortlisted
103,1006,Candidate Alpha 6,0.4149,0.023055231,Not Shortlisted
104,1050,Candidate Alpha 50,0.4149,0.023055231,Not Shortlisted
105,1062,Candidate Alpha 62,0.4149,0.023055231,Not Shortlisted
106,1108,Candidate Alpha 108,0.4149,0.023055231,Not Shortlisted
107,1122,Candidate Alpha 122,0.4149,0.023055231,Not Shortlisted
108,1126,Candidate Alpha 126,0.4149,0.023055231,Not Shortlisted
109,1136,Candidate Alpha 136,0.4149,0.023055231,Not Shortlisted
110,1008,Candidate Alpha 8,0.3349,0.023055231,Not Shortlisted
111,1020,Candidate Alpha 20,0.3349,0.023055231,Not Shortlisted
112,1034,Candidate Alpha 34,0.3349,0.023055231,Not Shortlisted
113,1046,Candidate Alpha 46,0.3349,0.023055231,Not Shortlisted
114,1068,Candidate Alpha 68,0.3349,0.023055231,Not Shortlisted
115,1116,Candidate Alpha 116,0.3349,0.023055231,Not Shortlisted
116,1124,Candidate Alpha 124,0.3349,0.023055231,Not Shortlisted
117,1047,Candidate Alpha 47,0.2651,0.023055231,Not Shortlisted
118,1051,Candidate Alpha 51,0.2651,0.023055231,Not Shortlisted
119,1057,Candidate Alpha 57,0.2651,0.023055231,Not Shortlisted
120,1113,Candidate Alpha 113,0.2651,0.023055231,Not Shortlisted
121,1135,Candidate Alpha 135,0.2651,0.023055231,Not Shortlisted
122,1143,Candidate Alpha 143,0.2651,0.023055231,Not Shortlisted
123,1007,Candidate Alpha 7,0.1851,0.020665623,Not Shortlisted
124,1083,Candidate Alpha 83,0.1851,0.020665623,Not Shortlisted
125,1099,Candidate Alpha 99,0.1851,0.020665623,Not Shortlisted
126,1141,Candidate Alpha 141,0.1851,0.020665623,Not Shortlisted
127,1000,Candidate Alpha 0,0.1749,0.013726122,Not Shortlisted
128,1014,Candidate Alpha 14,0.1749,0.013726122,Not Shortlisted
129,1024,Candidate Alpha 24,0.1749,0.013726122,Not Shortlisted
130,1032,Candidate Alpha 32,0.1749,0.013726122,Not Shortlisted
131,1052,Candidate Alpha 52,0.1749,0.013726122,Not Shortlisted
132,1092,Candidate Alpha 92,0.1749,0.013726122,Not Shortlisted
133,1096,Candidate Alpha 96,0.1749,0.013726122,Not Shortlisted
134,1104,Candidate Alpha 104,0.1749,0.013726122,Not Shortlisted
135,1114,Candidate Alpha 114,0.1749,0.013726122,Not Shortlisted
136,1120,Candidate Alpha 120,0.1749,0.013726122,Not Shortlisted
137,1005,Candidate Alpha 5,0.0251,0.013726122,Not Shortlisted
138,1009,Candidate Alpha 9,0.0251,0.013726122,Not Shortlisted
139,1013,Candidate Alpha 13,0.0251,0.013726122,Not Shortlisted
140,1021,Candidate Alpha 21,0.0251,0.013726122,Not Shortlisted
141,1023,Candidate Alpha 23,0.0251,0.013726122,Not Shortlisted
142,1029,Candidate Alpha 29,0.0251,0.013726122,Not Shortlisted
143,1037,Candidate Alpha 37,0.0251,0.013726122,Not Shortlisted
144,1061,Candidate Alpha 61,0.0251,0.013726122,Not Shortlisted
145,1101,Candidate Alpha 101,0.0251,0.013726122,Not Shortlisted
146,1107,Candidate Alpha 107,0.0251,0.013726122,Not Shortlisted
147,1109,Candidate Alpha 109,0.0251,0.013726122,Not Shortlisted
148,1117,Candidate Alpha 117,0.0251,0.013726122,Not Shortlisted
149,1129,Candidate Alpha 129,0.0251,0.013726122,Not Shortlisted
150,1145,Candidate Alpha 145,0.0251,0.013726122,Not Shortlisted
